ktotal,kBell,kGHZ,TotalRate,TotalRateBell,TotalRateGHZ
11,6,5,0.861863222316126,0.861863222316126,0
11,7,0,0.861863222316126,0.861863222316126,0
11,7,1,0.861863222316126,0.861863222316126,0
11,7,2,0.861863222316126,0.861863222316126,0
11,7,3,0.861863222316126,0.861863222316126,0
11,7,4,0.861863222316126,0.861863222316126,0
11,8,0,1.24959077397682,1.24959077397682,0
11,8,1,1.24959077397682,1.24959077397682,0
11,8,2,1.24959077397682,1.24959077397682,0
11,8,3,1.24959077397682,1.24959077397682,0
11,9,0,1.24959077397682,1.24959077397682,0
11,9,1,1.24959077397682,1.24959077397682,0
11,9,2,1.24959077397682,1.24959077397682,0
11,10,0,1.65355223080624,1.65355223080624,0
11,10,1,1.65355223080624,1.65355223080624,0
11,11,0,1.65355223080624,1.65355223080624,0
12,0,0,0,0,0
12,0,1,0,0,0
12,0,2,0,0,0
12,0,3,0,0,0
12,0,4,0,0,0
12,0,5,0,0,0
12,0,6,0.413784259292221,0,0.413784259292221
12,0,7,0.413784259292221,0,0.413784259292221
12,0,8,0.413784259292221,0,0.413784259292221
12,0,9,0.727596856209078,0,0.727596856209078
12,0,10,0.727596856209078,0,0.727596856209078
12,0,11,0.727596856209078,0,0.727596856209078
12,0,12,1.12994455222235,0,1.12994455222235
12,1,0,0,0,0
12,1,1,0,0,0
12,1,2,0,0,0
12,1,3,0,0,0
12,1,4,0,0,0
12,1,5,0,0,0
12,1,6,0.413784259292221,0,0.413784259292221
12,1,7,0.413784259292221,0,0.413784259292221
12,1,8,0.413784259292221,0,0.413784259292221
12,1,9,0.727596856209078,0,0.727596856209078
12,1,10,0.727596856209078,0,0.727596856209078
12,1,11,0.727596856209078,0,0.727596856209078
12,2,0,0.112212030571856,0.112212030571856,0
12,2,1,0.112212030571856,0.112212030571856,0
12,2,2,0.112212030571856,0.112212030571856,0
12,2,3,0.112212030571856,0.112212030571856,0
12,2,4,0.112212030571856,0.112212030571856,0
12,2,5,0.112212030571856,0.112212030571856,0
12,2,6,0.525996289864077,0.112212030571856,0.413784259292221
12,2,7,0.525996289864077,0.112212030571856,0.413784259292221
12,2,8,0.525996289864077,0.112212030571856,0.413784259292221
12,2,9,0.839808886780933,0.112212030571856,0.727596856209078
12,2,10,0.839808886780933,0.112212030571856,0.727596856209078
12,3,0,0.112212030571856,0.112212030571856,0
12,3,1,0.112212030571856,0.112212030571856,0
12,3,2,0.112212030571856,0.112212030571856,0
12,3,3,0.112212030571856,0.112212030571856,0
12,3,4,0.112212030571856,0.112212030571856,0
12,3,5,0.112212030571856,0.112212030571856,0
12,3,6,0.525996289864077,0.112212030571856,0.413784259292221
12,3,7,0.525996289864077,0.112212030571856,0.413784259292221
12,3,8,0.525996289864077,0.112212030571856,0.413784259292221
12,3,9,0.839808886780933,0.112212030571856,0.727596856209078
12,4,0,0.434847128499401,0.434847128499401,0
12,4,1,0.434847128499401,0.434847128499401,0
12,4,2,0.434847128499401,0.434847128499401,0
12,4,3,0.434847128499401,0.434847128499401,0
12,4,4,0.434847128499401,0.434847128499401,0
12,4,5,0.434847128499401,0.434847128499401,0
12,4,6,0.848631387791622,0.434847128499401,0.413784259292221
12,4,7,0.848631387791622,0.434847128499401,0.413784259292221
12,4,8,0.848631387791622,0.434847128499401,0.413784259292221
12,5,0,0.434847128499401,0.434847128499401,0
12,5,1,0.434847128499401,0.434847128499401,0
12,5,2,0.434847128499401,0.434847128499401,0
12,5,3,0.434847128499401,0.434847128499401,0
12,5,4,0.434847128499401,0.434847128499401,0
12,5,5,0.434847128499401,0.434847128499401,0
12,5,6,0.848631387791622,0.434847128499401,0.413784259292221
12,5,7,0.848631387791622,0.434847128499401,0.413784259292221
12,6,0,0.861863222316126,0.861863222316126,0
12,6,1,0.861863222316126,0.861863222316126,0
12,6,2,0.861863222316126,0.861863222316126,0
12,6,3,0.861863222316126,0.861863222316126,0
12,6,4,0.861863222316126,0.861863222316126,0
12,6,5,0.861863222316126,0.861863222316126,0
12,6,6,1.27564748160835,0.861863222316126,0.413784259292221
12,7,0,0.861863222316126,0.861863222316126,0
12,7,1,0.861863222316126,0.861863222316126,0
