kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
20,14,6,3,3,1.30160195571789,0.437841411086494,0.863760544631394
20,15,5,3,2,0.87211300922753,0.437841411086494,0.434271598141036
20,16,4,4,2,1.09633918106902,0.662067582927986,0.434271598141036
20,17,3,4,1,0.774914114148737,0.662067582927986,0.112846531220752
20,18,2,4,1,0.774914114148737,0.662067582927986,0.112846531220752
20,19,1,4,0,0.662067582927986,0.662067582927986,0
20,20,0,5,0,1.01515032056141,1.01515032056141,0
21,0,21,0,10,3.80590490351194,0,3.80590490351194
21,1,20,0,10,3.80590490351194,0,3.80590490351194
21,2,19,0,9,3.36444709406648,0,3.36444709406648
21,3,18,0,9,3.36444709406648,0,3.36444709406648
21,4,17,1,8,2.93556582824475,0,2.93556582824475
21,5,16,1,8,2.93556582824475,0,2.93556582824475
21,6,15,1,7,2.51924949209035,0,2.51924949209035
21,7,14,1,7,2.51924949209035,0,2.51924949209035
21,8,13,2,6,2.19616181093531,0.104965717735598,2.09119609319971
21,9,12,2,6,2.19616181093531,0.104965717735598,2.09119609319971
