kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
27,27,0,6,0,1.25587978604929,1.25587978604929,0
28,0,28,0,14,5.53694031033556,0,5.53694031033556
28,1,27,0,13,5.0867497947711,0,5.0867497947711
28,2,26,0,13,5.0867497947711,0,5.0867497947711
28,3,25,0,12,4.65370960450788,0,4.65370960450788
28,4,24,1,12,4.65370960450788,0,4.65370960450788
28,5,23,1,11,4.22561736954987,0,4.22561736954987
28,6,22,1,11,4.22561736954987,0,4.22561736954987
28,7,21,1,10,3.80855917134873,0,3.80855917134873
28,8,20,2,10,3.90704726790411,0.0984880965553853,3.80855917134873
28,9,19,2,9,3.46105489476653,0.0984880965553853,3.36256679821114
28,10,18,2,9,3.46105489476653,0.0984880965553853,3.36256679821114
28,11,17,2,8,3.03288557659668,0.0984880965553853,2.9343974800413
28,12,16,3,8,3.36576915521704,0.431371675175746,2.9343974800413
28,13,15,3,7,2.95103522464015,0.431371675175746,2.5196635494644
28,14,14,3,7,2.95103522464015,0.431371675175746,2.5196635494644
28,15,13,3,6,2.52505362865568,0.431371675175746,2.09368195347993
28,16,12,4,6,2.7428540374983,0.649172084018365,2.09368195347993
28,17,11,4,5,2.29878322414575,0.649172084018365,1.64961114012738
28,18,10,4,5,2.29878322414575,0.649172084018365,1.64961114012738
28,19,9,4,4,1.8969332307145,0.649172084018365,1.24776114669613
28,20,8,5,4,2.24731302096768,0.999551874271552,1.24776114669613
28,21,7,5,3,1.86373865733873,0.999551874271552,0.864186783067182
28,22,6,5,3,1.86373865733873,0.999551874271552,0.864186783067182
28,23,5,5,2,1.43429744101894,0.999551874271552,0.434745566747388
28,24,4,6,2,1.69062535279667,1.25587978604929,0.434745566747388
28,25,3,6,1,1.36832063848494,1.25587978604929,0.112440852435657
28,26,2,6,1,1.36832063848494,1.25587978604929,0.112440852435657
28,27,1,6,0,1.25587978604929,1.25587978604929,0
28,28,0,7,0,1.60179961125199,1.60179961125199,0
29,0,29,0,14,5.53694031033556,0,5.53694031033556
29,1,28,0,14,5.53694031033556,0,5.53694031033556
29,2,27,0,13,5.0867497947711,0,5.0867497947711
29,3,26,0,13,5.0867497947711,0,5.0867497947711
29,4,25,1,12,4.65370960450788,0,4.65370960450788
29,5,24,1,12,4.65370960450788,0,4.65370960450788
29,6,23,1,11,4.22561736954987,0,4.22561736954987
29,7,22,1,11,4.22561736954987,0,4.22561736954987
29,8,21,2,10,3.90704726790411,0.0984880965553853,3.80855917134873
29,9,20,2,10,3.90704726790411,0.0984880965553853,3.80855917134873
29,10,19,2,9,3.46105489476653,0.0984880965553853,3.36256679821114
29,11,18,2,9,3.46105489476653,0.0984880965553853,3.36256679821114
29,12,17,3,8,3.36576915521704,0.431371675175746,2.9343974800413
29,13,16,3,8,3.36576915521704,0.431371675175746,2.9343974800413
29,14,15,3,7,2.95103522464015,0.431371675175746,2.5196635494644
29,15,14,3,7,2.95103522464015,0.431371675175746,2.5196635494644
29,16,13,4,6,2.7428540374983,0.649172084018365,2.09368195347993
29,17,12,4,6,2.7428540374983,0.649172084018365,2.09368195347993
