kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
20,11,9,2,4,1.45539606249067,0.206443105529449,1.24895295696122
20,12,8,3,4,1.6868447786782,0.43789182171698,1.24895295696122
20,13,7,3,3,1.30268235310851,0.43789182171698,0.864790531391527
20,14,6,3,3,1.30268235310851,0.43789182171698,0.864790531391527
20,15,5,3,2,0.873342364255594,0.43789182171698,0.435450542538613
20,16,4,4,2,1.2298663095035,0.794415766964887,0.435450542538613
20,17,3,4,1,0.907111351599041,0.794415766964887,0.112695584634154
20,18,2,4,1,0.907111351599041,0.794415766964887,0.112695584634154
20,19,1,4,0,0.794415766964887,0.794415766964887,0
20,20,0,5,0,1.04515171609258,1.04515171609258,0
21,0,21,0,10,3.80758596421078,0,3.80758596421078
21,1,20,0,10,3.80758596421078,0,3.80758596421078
21,2,19,0,9,3.3640151617856,0,3.3640151617856
21,3,18,0,9,3.3640151617856,0,3.3640151617856
21,4,17,1,8,2.93327486261793,0,2.93327486261793
21,5,16,1,8,2.93327486261793,0,2.93327486261793
21,6,15,1,7,2.5169374631892,0,2.5169374631892
21,7,14,1,7,2.5169374631892,0,2.5169374631892
21,8,13,2,6,2.29858565732617,0.206443105529449,2.09214255179672
21,9,12,2,6,2.29858565732617,0.206443105529449,2.09214255179672
