kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
17,7,10,2,5,2.06312140455633,0.412960517107589,1.65016088744874
17,8,9,2,4,1.66153577290073,0.412960517107589,1.24857525579314
17,9,8,3,4,1.97855982454878,0.729984568755643,1.24857525579314
17,10,7,3,3,1.59318317472881,0.729984568755643,0.863198605973166
17,11,6,3,3,1.59318317472881,0.729984568755643,0.863198605973166
17,12,5,4,2,1.5688470816334,1.13310165722302,0.435745424410378
17,13,4,4,2,1.5688470816334,1.13310165722302,0.435745424410378
17,14,3,4,1,1.24622742069187,1.13310165722302,0.113125763468843
17,15,2,5,1,1.65150916124833,1.53838339777949,0.113125763468843
17,16,1,5,0,1.53838339777949,1.53838339777949,0
17,17,0,5,0,1.53838339777949,1.53838339777949,0
18,0,18,0,9,3.36210727245199,0,3.36210727245199
18,1,17,0,8,2.93493889250537,0,2.93493889250537
18,2,16,0,8,2.93493889250537,0,2.93493889250537
18,3,15,1,7,2.51879985387614,0,2.51879985387614
18,4,14,1,7,2.51879985387614,0,2.51879985387614
18,5,13,1,6,2.09233464067478,0,2.09233464067478
18,6,12,2,6,2.50529515778237,0.412960517107589,2.09233464067478
18,7,11,2,5,2.06312140455633,0.412960517107589,1.65016088744874
18,8,10,2,5,2.06312140455633,0.412960517107589,1.65016088744874
18,9,9,3,4,1.97855982454878,0.729984568755643,1.24857525579314
18,10,8,3,4,1.97855982454878,0.729984568755643,1.24857525579314
18,11,7,3,3,1.59318317472881,0.729984568755643,0.863198605973166
18,12,6,4,3,1.99630026319619,1.13310165722302,0.863198605973166
18,13,5,4,2,1.5688470816334,1.13310165722302,0.435745424410378
18,14,4,4,2,1.5688470816334,1.13310165722302,0.435745424410378
18,15,3,5,1,1.65150916124833,1.53838339777949,0.113125763468843
18,16,2,5,1,1.65150916124833,1.53838339777949,0.113125763468843
18,17,1,5,0,1.53838339777949,1.53838339777949,0
18,18,0,6,0,1.8925738703109,1.8925738703109,0
19,0,19,0,9,3.36210727245199,0,3.36210727245199
19,1,18,0,9,3.36210727245199,0,3.36210727245199
19,2,17,0,8,2.93493889250537,0,2.93493889250537
19,3,16,1,8,2.93493889250537,0,2.93493889250537
19,4,15,1,7,2.51879985387614,0,2.51879985387614
19,5,14,1,7,2.51879985387614,0,2.51879985387614
19,6,13,2,6,2.50529515778237,0.412960517107589,2.09233464067478
19,7,12,2,6,2.50529515778237,0.412960517107589,2.09233464067478
19,8,11,2,5,2.06312140455633,0.412960517107589,1.65016088744874
19,9,10,3,5,2.38014545620438,0.729984568755643,1.65016088744874
19,10,9,3,4,1.97855982454878,0.729984568755643,1.24857525579314
19,11,8,3,4,1.97855982454878,0.729984568755643,1.24857525579314
19,12,7,4,3,1.99630026319619,1.13310165722302,0.863198605973166
19,13,6,4,3,1.99630026319619,1.13310165722302,0.863198605973166
19,14,5,4,2,1.5688470816334,1.13310165722302,0.435745424410378
19,15,4,5,2,1.97412882218987,1.53838339777949,0.435745424410378
19,16,3,5,1,1.65150916124833,1.53838339777949,0.113125763468843
19,17,2,5,1,1.65150916124833,1.53838339777949,0.113125763468843
19,18,1,6,0,1.8925738703109,1.8925738703109,0
19,19,0,6,0,1.8925738703109,1.8925738703109,0
20,0,20,0,10,3.80950162104097,0,3.80950162104097
20,1,19,0,9,3.36210727245199,0,3.36210727245199
20,2,18,0,9,3.36210727245199,0,3.36210727245199
20,3,17,1,8,2.93493889250537,0,2.93493889250537
20,4,16,1,8,2.93493889250537,0,2.93493889250537
20,5,15,1,7,2.51879985387614,0,2.51879985387614
20,6,14,2,7,2.93176037098372,0.412960517107589,2.51879985387614
20,7,13,2,6,2.50529515778237,0.412960517107589,2.09233464067478
20,8,12,2,6,2.50529515778237,0.412960517107589,2.09233464067478
20,9,11,3,5,2.38014545620438,0.729984568755643,1.65016088744874
20,10,10,3,5,2.38014545620438,0.729984568755643,1.65016088744874
20,11,9,3,4,1.97855982454878,0.729984568755643,1.24857525579314
20,12,8,4,4,2.38167691301616,1.13310165722302,1.24857525579314
20,13,7,4,3,1.99630026319619,1.13310165722302,0.863198605973166
20,14,6,4,3,1.99630026319619,1.13310165722302,0.863198605973166
20,15,5,5,2,1.97412882218987,1.53838339777949,0.435745424410378
20,16,4,5,2,1.97412882218987,1.53838339777949,0.435745424410378
20,17,3,5,1,1.65150916124833,1.53838339777949,0.113125763468843
20,18,2,6,1,2.00569963377974,1.8925738703109,0.113125763468843
20,19,1,6,0,1.8925738703109,1.8925738703109,0
20,20,0,6,0,1.8925738703109,1.8925738703109,0
21,0,21,0,10,3.80950162104097,0,3.80950162104097
21,1,20,0,10,3.80950162104097,0,3.80950162104097
21,2,19,0,9,3.36210727245199,0,3.36210727245199
21,3,18,1,9,3.36210727245199,0,3.36210727245199
